Player Name,Last Updated,Name,Birthday,Country,Team,Mouse Model,Mouse DPI,Mouse Sensitivity
Krimbo,15 Mar 2024,Karim Moussa,"September 26, 2002",Germany,BIG,Logitech G Pro X Superlight 2 Black,400,2.1
k0nfig,24 Feb 2024,Kristian Wienecke,"April 19, 1997",Denmark,Ninjas in Pyjamas,ZOWIE EC2-CW,400,2.2
blameF,18 Feb 2024,Benjamin Bremer,"June 10, 1997",Denmark,Astralis,Logitech G Pro X Superlight Magenta,400,1.65
VINI,09 Feb 2024,Vinicius Figueiredo,"May 20, 1999",Brazil,Imperial Esports,Logitech G Pro X Superlight White,1600,0.45
FalleN,02 Mar 2024,Gabriel Toledo,"May 30, 1991",Brazil,FURIA,ZOWIE EC1-CW,400,2.1
GeT_RiGhT,26 Feb 2024,Christopher Alesund,"May 29, 1990",Sweden,Content Creator,VAXEE XE Wireless Orange,400,2.9
fer,06 Jan 2024,Fernando Alvarenga,"October 30, 1991",Brazil,O PLANO,VAXEE ZYGEN NP-01 White,400,2.3
Stewie2k,13 Mar 2024,Jake Yip,"January 7, 1998",United States,Free Agent,ZOWIE U2,400,2.2
Farlig,19 Aug 2023,Asger Jensen,"March 17, 1999",Denmark,Free Agent,Razer Deathadder V3 Pro Black,400,2.14
Chawzyyy,29 Dec 2022,Hugo Günther,"March 11, 2005",Sweden,Free Agent,Logitech G Pro X Superlight Black,800,0.68
BOROS,20 Feb 2024,Mohammad Malhas,"May 4, 2004",Jordan,Falcons Esports,ZOWIE S2-C,400,1.7
HEN1,19 Mar 2024,Henrique Teles,"July 14, 1995",Brazil,Imperial Esports,ZOWIE EC2 RED V2,400,3.5
es3tag,20 Feb 2024,Patrick Hansen,"November 29, 1995",Denmark,Ninjas in Pyjamas,Logitech G Pro X Superlight Black,800,1.4
REZ,01 Feb 2024,Fredrik Sterner,"January 11, 1998",Sweden,Ninjas in Pyjamas,Logitech G Pro X Superlight 2 White,800,0.95
Brollan,10 Jan 2024,Ludvig Brolin,"June 17, 2002",Sweden,MOUZ,ZOWIE EC2-CW,800,1.3
Jimpphat,19 Mar 2024,Jimi Salo,"September 9, 2006",Finland,MOUZ,Razer Viper V3 Pro Black (Unreleased),400,1.5
misutaaa,18 Jan 2024,Kévin Rabier,"January 15, 2003",France,Into The Breach,Razer Deathadder V3 Pro White,400,1.35
Peppzor,22 Sep 2023,Peppe Borak,"July 23, 2002",Sweden,EYEBALLERS,ZOWIE EC3-CW,400,1.6
apEX,18 Jan 2024,Dan Madesclaire,"February 22, 1993",France,Team Vitality,Razer Deathadder V3 Pro White,400,1.6
Fessor,20 Feb 2024,Frederik Sørensen,"January 24, 2001",Denmark,Copenhagen Wolves,VAXEE OUTSET AX Wireless Orange,400,1.8
FURIOUSSS,02 Mar 2024,Anıl Bozdoğan,"January 23, 1998",Turkey,Content Creator,Razer Deathadder V3 Pro White,400,2.3
Maikelele,02 Feb 2023,Mikail Bill,"May 3, 1991",Sweden,Content Creator,Logitech G Pro X Superlight Black,400,2.2
Boombl4,26 Feb 2024,Kirill Mikhailov,"December 20, 1998",Russia,Cloud9,Razer Deathadder V3 Pro Black,400,1.45
Perfecto,18 Mar 2024,Ilya Zalutskiy,"November 24, 1999",Russia,Cloud9,ZOWIE U2,800,0.9
regali,16 Mar 2024,Iulian Harjău,"August 26, 2002",Romania,OG Esports,Razer Viper V3 Hyperspeed,400,3
RuStY,08 Feb 2024,Alfred Karlsson,"October 4, 1997",Sweden,GODSENT,ZOWIE S2 Divina Pink,400,1.7
iM,13 Mar 2024,Ivan Mihai,"July 29, 1999",Romania,Natus Vincere,Logitech G Pro X Superlight 2 White,400,2.3
poizon,25 Feb 2024,Valentin Vasilev,"November 29, 1998",Bulgaria,TSM,Logitech G Pro X Superlight Black,400,1.9
forsyy,16 Dec 2023,David Bílý,"November 12, 2001",Czechia,Dynamo Eclot,ZOWIE EC2-CW,400,2.5
Banjo,09 Dec 2023,Matias Kivistö,"May 15, 2004",Finland,HAVU,Pulsar Xlite V2 Wireless,800,1
Magisk,14 Feb 2024,Emil Reif,"March 5, 1998",Denmark,Falcons Esports,VAXEE OUTSET AX Wireless Blue,800,1
dupreeh,20 Feb 2024,Peter Rasmussen,"March 26, 1993",Denmark,Preasy,Logitech G Pro X Superlight 2 White,400,1.7
Zero,20 Mar 2023,Patrik Žúdel,"September 16, 1998",Slovakia,Retired,ZOWIE S1,800,0.95
isak,01 Feb 2024,Isak Fahlén,"September 2, 2001",Sweden,GamerLegion,ZOWIE EC2-CW,800,0.81
eraa,09 Jan 2024,Sean Knutsson,"August 12, 2001",Sweden,GODSENT,ZOWIE EC3-CW,400,1.8
tabseN,07 Feb 2024,Johannes Wodarz,"April 5, 1995",Germany,BIG,ZOWIE U2,400,1.28
refrezh,22 Feb 2024,Ismail Ali,"February 19, 1998",Denmark,Preasy,Logitech G Pro X Superlight 2 Black,400,1.90
cadiaN,02 Mar 2024,Casper Møller,"June 26, 1995",Denmark,Team Liquid,Logitech G Pro X Superlight 2 Black,400,2.4
FaNg,08 Mar 2024,Justin Coakley,"May 7, 2002",Canada,Free Agent,Razer Deathadder V3 Pro White,400,2.5
JT,08 Jun 2023,Johnny Theodosiou,"April 9, 1999",South Africa,Complexity,ZOWIE EC2-CW,400,2.75
Grim,02 Mar 2024,Michael Wince,"November 22, 2000",United States,Complexity,Logitech G Pro X Superlight Red,800,0.72
junior,21 Dec 2023,Paytyn Johnson,"December 10, 2000",United States,Nouns Esports,Razer DeathAdder V3 Pro Faker Edition,400,3.1
floppy,05 Feb 2024,Ricky Kemery,"December 31, 1999",United States,Complexity,Logitech G Pro X Superlight Magenta,800,1.2
Jerry,05 Dec 2023,Andrey Mekhryakov,"May 24, 1998",Russia,PARIVISION,ZOWIE EC2-CW,400,3.00
stavn,25 Nov 2023,Martin Lund,"March 26, 2002",Denmark,Astralis,ZOWIE EC2-CW,400,2.60
rigoN,15 Mar 2024,Rigon Gashi,"October 7, 1999",Switzerland,Guild Esports,Lamzu Atlantis Mini Pro,400,1.8
SENER1,02 Mar 2024,Sener Mahmuti,"January 19, 1997",Kosovo,Guild Esports,Logitech G Pro X Superlight 2 Magenta,400,2.35
Zyphon,28 Feb 2024,Rasmus Nordfoss,"February 18, 2004",Denmark,TSM,ZOWIE EC2-CW,400,1.5
jabbi,16 Mar 2024,Jakob Nygaard,"July 23, 2003",Denmark,Astralis,ZOWIE EC2-CW,800,0.90
roeJ,20 Feb 2024,Fredrik Jørgensen,"November 20, 1993",Denmark,Preasy,ZOWIE EC2-CW,400,1.85
HooXi,17 Feb 2024,Rasmus Nielsen,"May 21, 1995",Denmark,G2 Esports,Logitech G Pro X Superlight Red,400,1.8
nicoodoz,24 Feb 2024,Nico Tamjidi,"August 2, 2000",Denmark,Heroic,VAXEE OUTSET AX Wireless Yellow,800,1.25
sjuush,25 Feb 2024,Rasmus Beck,"January 3, 1999",Denmark,Heroic,ZOWIE EC2-CW,400,2.2
TeSeS,05 Feb 2024,René Madsen,"December 12, 2000",Denmark,Heroic,ZOWIE EC2-CW,800,1.10
gxx,13 Mar 2024,Genc Kolgeci,"May 3, 1999",Kosovo,Guild Esports,Razer Deathadder V3 Pro Black,400,2
KENSI,15 Nov 2023,Aleksandr Gurkin,"November 13, 2001",Russia,Aurora,Logitech G Pro X Superlight Black,400,1.55
zorte,18 Jan 2024,Aleksandr Zagodyrenko,"May 28, 1998",Russia,BetBoom Team,Pulsar Xlite V2 Wireless,800,1.15
Brehze,29 Nov 2023,Vincent Cayonte,"May 22, 1998",United States,NRG,Razer Deathadder V3 Pro White,400,3
RUSH,05 Sep 2023,Will Wierzba,"May 5, 1994",United States,Free Agent,Logitech G Pro X Superlight Black,800,1.3
interz,31 Jan 2024,Timofey Yakushin,"August 4, 2000",Russia,TSM,Logitech G Pro X Superlight Black,800,1.4
sh1ro,18 Mar 2024,Dmitriy Sokolov,"July 15, 2001",Russia,Team Spirit,Logitech G Pro X Superlight 2 Black,800,1.04
HObbit,03 Feb 2024,Abay Khasenov,"May 18, 1994",Kazakhstan,Cloud9,Logitech G Pro X Superlight 2 White,400,2.2
Xyp9x,11 Mar 2024,Andreas Højsleth,"September 11, 1995",Denmark,Free Agent,Logitech G Pro X Superlight Red,400,2
gla1ve,01 Feb 2024,Lukas Rossander,"June 7, 1995",Denmark,ENCE,ZOWIE EC1-CW,400,1.8
mwlky,23 Feb 2024,Łukasz Pachucki,N/A,Poland,Entropiq,Logitech G Pro X Superlight Magenta,400,2.3
CeRq,31 Dec 2023,Cvetelin Dimitrov,"December 7, 1999",Bulgaria,Bleed eSports,ZOWIE EC2 RED V2,400,2.2
EliGE,04 Mar 2024,Jonathan Jablonowski,"July 19, 1997",United States,Complexity,Logitech G Pro X Superlight 2 Black,1600,0.74
XELLOW,22 Feb 2024,Adrian Guță,"October 6, 2000",Romania,Nexus Gaming,Logitech G Pro X Superlight 2 Black,400,2
FinigaN,29 Dec 2022,Vladislav Usov,"February 16, 1999",Russia,Free Agent,Logitech G Pro X Superlight White,400,2.4
brzer,26 Dec 2023,Benjamin Jensen,"December 20, 2001",Denmark,CEPTER,ZOWIE EC2-CW,400,3.09
NAF,04 Mar 2024,Keith Markovic,"November 24, 1997",Canada,Team Liquid,Razer Viper V3 Pro Black (Unreleased),400,1.60
dav1deuS,03 Mar 2024,David Tapia Maldonado,"June 7, 2000",Chile,RED Canids,ZOWIE EC2-B,400,3.06
rox,28 Apr 2023,Martin Molina,"September 15, 2002",Argentina,Free Agent,VAXEE ZYGEN NP-01S Glossy,800,2.2
max,28 Dec 2022,Maximiliano Gonzalez,"June 15, 1999",Uruguay,9z Team,Logitech G403 HERO,800,1
shox,14 Jan 2024,Richard Papillon,"May 27, 1992",France,Free Agent,ZOWIE FK1+-C,400,1.75
oSee,29 Nov 2023,Joshua Ohm,"May 31, 1999",United States,NRG,Logitech G Pro X Superlight 2 White,800,0.85
ultimate,01 Mar 2023,Roland Tomkowiak,N/A,Poland,Free Agent,Razer Viper Ultimate,400,2.1
Jamppi,06 Mar 2024,Elias Olkkonen,"July 22, 2001",Finland,Team Liquid,ZOWIE EC1-CW,800,0.317
F1KU,11 Oct 2023,Maciej Miklas,"May 29, 2003",Poland,OG Esports,ZOWIE EC1-CW,400,1.7
Furlan,25 May 2023,Damian Kisłowski,"December 29, 1994",Poland,Free Agent,Razer Deathadder V3 Pro Black,800,1.3
s1ren,18 Feb 2024,Pavel Ogloblin,"July 16, 2002",Russia,BetBoom Team,Logitech G Pro X Superlight Magenta,800,1.5
jedqr,25 May 2023,Grzegorz Jędras,"November 3, 1998",Poland,Free Agent,ZOWIE ZA11-B,800,1.5
Goofy,28 Feb 2024,Krzysztof Górski,"August 29, 2000",Poland,ENCE,Logitech G Pro X Superlight 2 Black,800,1
Sobol,28 Dec 2022,Kamil Sobolewski,"January 24, 1998",Poland,Free Agent,Logitech G Pro X Superlight White,400,1.7
Marix,18 Nov 2023,Max Kugener,"July 30, 2003",Luxembourg,Entropiq,Pulsar Xlite V2 Wireless,1600,0.35
Staehr,27 Sep 2023,Victor Staehr,"July 19, 2004",Denmark,Astralis,Logitech G Pro X Superlight Magenta,800,1.2
leman,01 Mar 2023,Eryk Kocęba,"January 21, 1997",Poland,Free Agent,ZOWIE S2 Divina Pink,400,3
Grashog,13 Mar 2024,Denis Hristov,N/A,Bulgaria,500,Razer Viper Ultimate,800,1.1525
kRaSnaL,26 Feb 2024,Szymon Mrozek,"April 2, 2003",Poland,Monte,Logitech G Pro X Superlight 2 Black,400,1.7
Nivera,14 Mar 2024,Nabil Benrlitom,"June 10, 2001",Belgium,Karmine Corp,Razer Deathadder V3 Pro White,800,0.55
vanity,30 Oct 2023,Anthony Malaspina,"December 4, 1998",United States,Cloud9,ZOWIE EC2-CW,1600,0.141
xeta,15 Feb 2024,Seon-Ho Son,"June 3, 1997",South Korea,Retired,Logitech G Pro X Superlight Red,400,0.58
Aleksib,09 Feb 2024,Aleksi Virolainen,"March 30, 1997",Finland,Natus Vincere,Logitech G Pro X Superlight Red,800,1.05
D0cC,28 Feb 2024,Shuaib Ahmad,"September 4, 2000",Netherlands,Twisted Minds,ZOWIE EC2 RED V2,400,1.8
slaxz,14 Mar 2024,Fritz Dietrich,"November 25, 1998",Germany,M80,WLMouse BEAST X Mini Black,400,2.25
Spiidi,30 Dec 2023,Timo Richter,"September 13, 1995",Germany,Retired,Logitech G Pro X Superlight Black,800,0.8
raalz,30 Aug 2023,Rasmus Steensborg,"July 30, 1995",Denmark,Sprout,ZOWIE EC1,400,1.6
Norwi,16 Mar 2024,Evgeniy Ermolin,"March 20, 2001",Russia,Aurora,Razer Deathadder V3 Pro White,800,0.6
fame,19 Mar 2024,Pyotr Bolyshev,"March 3, 2003",Russia,Virtus.pro,Logitech G Pro X Superlight 2 White,800,1.10
FASHR,13 Mar 2024,Dion Derksen,"January 10, 1996",Netherlands,Free Agent,ZOWIE EC2-CW,800,1.00
Recrent,06 Mar 2024,Dmitrii Osintsev,"June 26, 1997",Russia,Content Creator,Lamzu Maya,800,4.33
X5G7V,05 Dec 2023,Daniil Maryshev,N/A,Russia,PARIVISION,Logitech G Pro X Superlight White,800,1.05
sinnopsyy,14 Nov 2023,Dionis Budeci,"July 24, 1995",Albania,Guild Esports,Logitech G Pro X Superlight White,400,3.25
juanflatroo,22 Feb 2024,Flatron Halimi,"March 18, 1997",Kosovo,Guild Esports,Razer Deathadder V3 Pro Black,400,2.3
mhL,01 Mar 2024,Miłosz Knasiak,"March 3, 2002",Poland,Falcons Esports,ZOWIE EC2-CW,400,2
siuhy,05 Feb 2024,Kamil Szkaradek,"August 26, 2002",Poland,MOUZ,Razer Deathadder V3 Pro White,400,1.7
szejn,30 Dec 2023,Hubert Światły,"January 4, 2002",Poland,Copenhagen Wolves,ZOWIE EC2-B Divina Blue,400,3.125
JOTA,08 Jan 2024,Jhonatan Willian,"February 2, 1998",Brazil,Los Grandes,ZOWIE EC3-CW,800,2.5
Tuurtle,07 Feb 2024,Matheus Marques Anhaia,"October 31, 1998",Brazil,ODDIK,ZOWIE EC2-CW,400,1.5
shalfey,12 May 2023,Aleksandr Marenov,"June 8, 2002",Russia,forZe,Logitech G Pro X Superlight White,400,2.01
coldzera,19 Nov 2023,Marcelo David,"October 31, 1994",Brazil,Legacy,Logitech G Pro X Superlight 2 White,800,1.10
Daffu,25 May 2023,Jakob Schildt,"September 24, 1997",Denmark,Free Agent,Video,Unknown,Unknown
maNkz,03 Feb 2024,Marcus Kjeldsen,"April 21, 1998",Denmark,M80,Video,800,1.15
birdfromsky,18 Dec 2023,Thomas Due Frederiksen,"September 9, 1993",Denmark,00Nation,ZOWIE EC2-CW,800,0.88
BnTeT,29 Dec 2022,Hansel Ferdinand,"August 28, 1995",Indonesia,Team NKT,Logitech G Pro X Superlight White,810,1.10
WOOD7,05 Mar 2024,Adriano Cerato,"May 23, 1995",Brazil,ODDIK,ZOWIE EC2-CW,800,1.25
brnz4n,20 Nov 2023,Breno Poletto,"August 26, 2003",Brazil,MIBR,VAXEE ZYGEN NP-01S Wireless Blue,400,1.9
kraghen,22 Feb 2024,Tobias Kragh Jensen,"July 2, 2002",Denmark,ECSTATIC,Logitech G Pro X Superlight 2 White,800,0.85
rain,16 Mar 2024,Håvard Nygaard,"August 27, 1994",Norway,FaZe Clan,Logitech G Pro X Superlight 2 White,400,1.65
Python,07 May 2023,Jordan Munck-Foehrle,"November 16, 2001",France,Falcons Esports,ZOWIE EC2-C,400,1.15
autimatic,10 Mar 2024,Timothy Ta,"September 10, 1996",United States,NRG,Logitech G Pro X Superlight 2 White,800,1.125
nitr0,05 Jan 2024,Nicholas Cannella,"August 16, 1995",United States,M80,VAXEE XE Wireless Blue,400,0.7
tarik,12 Feb 2024,Tarik Celik,"February 18, 1996",United States,Sentinels,Finalmouse Ultralight X Large,800,0.471
JASONR,20 Dec 2023,Jason Ruchelski,"August 2, 1994",Canada,Content Creator,Logitech G Pro X Superlight Black,400,1.95
Relyks,04 Apr 2023,Skyler Weaver,"January 12, 1995",United States,Free Agent,Logitech G Pro X Superlight Black,400,0.79
Drone,05 Apr 2023,Taylor Johnson,"August 29, 1997",United States,Free Agent,Logitech G Pro X Superlight Black,800,0.34
Cutler,29 Dec 2022,Stephen Cutler,"November 27, 1998",United States,Free Agent,Logitech G Pro X Superlight Black,800,0.3
nython,09 May 2023,Gabriel Lino,"October 10, 1997",Brazil,Paquetá Gaming,Logitech G Pro X Superlight Black,800,1.2
headtr1ck,06 Mar 2024,Danyyl Valitov,"June 30, 2004",Ukraine,Ninjas in Pyjamas,Logitech G Pro X Superlight White,400,2.3
dgt,19 Sep 2023,Franco Garcia,"May 12, 2001",Uruguay,9z Team,Logitech G403 HERO,400,1.3
karrigan,17 Feb 2024,Finn Andersen,"April 14, 1990",Denmark,FaZe Clan,Razer Deathadder V3 Pro Black,400,1.8
dephh,14 Mar 2024,Rory Jackson,"December 23, 1991",United Kingdom,M80,Logitech G Pro X Superlight Black,450,2.00
broky,14 Feb 2024,Helvijs Saukants,"February 14, 2001",Latvia,FaZe Clan,Logitech G Pro X Superlight 2 Black,400,1.9
JACKZ,18 Jan 2024,Audric Jug,"July 7, 1992",France,TSM,Razer DeathAdder Elite,400,1.661
AZK,04 Apr 2023,Kevin Larivière,"March 25, 1991",Canada,Retired,Logitech G Pro Wireless,400,0.628
Skadoodle,27 Nov 2023,Tyler Latham,"July 21, 1993",United States,Retired,Logitech G Pro X Superlight Black,400,1.90
mixwell,14 Feb 2024,Oscar Cañellas Colocho,"October 10, 1995",Spain,Retired,Logitech G703,400,0.69
Ethan,14 Mar 2024,Ethan Arnold,"March 2, 2000",United States,NRG,ZOWIE EC3-CW,400,0.68
Hiko,18 Nov 2023,Spencer Martin,"March 6, 1990",United States,Content Creator,ASUS ROG Harpe Ace,1600,1.07
huNter,25 Feb 2024,Nemanja Kovač,"January 3, 1996",Bosnia & Herzegovina,G2 Esports,Logitech G Pro X Superlight 2 White,400,2.2
SicK,27 Nov 2023,Hunter Mims,"September 2, 1998",United States,Sentinels,Logitech G900,800,0.235
ShahZaM,19 Oct 2023,Shahzeb Khan,"October 8, 1993",United States,G2 Esports,Logitech G703,800,0.265
FNS,06 Mar 2024,Pujan Mehta,"March 19, 1992",Canada,Free Agent,Logitech G Pro X Superlight 2 Black,400,0.55
ANGE1,31 Jan 2024,Kirill Karasiow,"September 10, 1989",Ukraine,Natus Vincere,Razer Deathadder V3 Pro White,800,0.5
Subroza,15 Feb 2024,Yassine Taoufik,"July 6, 1997",Canada,Free Agent,Logitech G Pro X Superlight Black,800,0.277
Zellsis,28 Feb 2024,Jordan Montemurro,"March 2, 1998",United States,Sentinels,Logitech G Pro X Superlight Black,800,0.215
pyth,27 Nov 2023,Jacob Mourujärvi,"September 21, 1993",Sweden,Free Agent,ZOWIE EC2-CW,400,2.20
brax,05 Mar 2024,Braxton Pierce,"September 20, 1996",United States,Content Creator,Pulsar Xlite V3 Es,400,1.75
dimasick,30 Oct 2023,Dmitry Matvienko,"July 6, 1996",Kazakhstan,Free Agent,Razer Deathadder V3 Pro Black,400,0.75
vice,19 Jun 2023,Daniel Kim,"November 9, 1995",United States,Free Agent,Logitech G Pro Wireless,800,0.245
steel,15 Jan 2024,Joshua Nissan,"December 28, 1989",Canada,Free Agent,Razer Viper V2 Pro Black,800,1.30
lowel,15 Feb 2024,Christian Garcia Antoran,"December 11, 1996",Spain,Case Esports,Logitech G Pro X Superlight Black,400,0.566
s0m,27 Feb 2024,Sam Oh,"June 7, 2002",United States,Free Agent,Logitech G Pro X Superlight 2 White,400,0.8
hazed,27 Nov 2023,James Cobb,"May 22, 1989",United States,Retired,Logitech G Pro X Superlight Black,800,0.35
tiziaN,21 Dec 2023,Tizian Feldbusch,"June 15, 1996",Germany,Entropiq,Endgame Gear XM2we White,400,1.7
flusha,20 Feb 2024,Robin Rönnquist,"August 12, 1993",Sweden,Retired,Xtrfy M4 Black,400,1.75
Snax,25 Feb 2024,Janusz Pogorzelski,"July 5, 1993",Poland,GamerLegion,Endgame Gear OP1 8k White,400,2.06
PKL,13 Jul 2023,Vinícios Coelho,"July 21, 1994",Brazil,Fluxo,Razer Deathadder V3 Pro Black,400,2.20
cajunb,20 Apr 2023,René Borg,"December 13, 1989",Denmark,Retired,ZOWIE EC1,400,2.20
SLOWLY,25 Nov 2023,Kelun Sun,"September 23, 2001",China,Free Agent,ZOWIE EC3-C,400,1.50
KioShiMa,21 Feb 2023,Fabien Fiey,"July 29, 1994",France,Retired,Logitech G Pro Wireless,400,2.20
mirbit,29 Dec 2022,Sabit Coktasar,"November 4, 1996",Germany,Nordavind,Logitech G Pro X Superlight Black,800,0.90
NickelBack,13 Mar 2024,Alexey Trofimov,"July 17, 1997",Russia,AMKAL,Logitech G Pro X Superlight Red,800,0.80
Lack1,08 Jan 2024,Viktor Boldyrev,"August 20, 1999",Kazakhstan,Aurora,ZOWIE EC2-CW,800,1.1
Krad,18 Mar 2024,Vladislav Kravchenko,"January 9, 1999",Russia,AMKAL,ZOWIE U2,400,2.4
latto,05 Mar 2024,Bruno Rebelatto,"December 21, 2002",Brazil,Legacy,Logitech G Pro X Superlight 2 White,400,2
dream3r,28 Nov 2023,Simeon Ganev,"January 28, 1997",Bulgaria,Retired,Video,Unknown,Unknown
mezii,25 Feb 2024,William Merriman,"October 15, 1998",United Kingdom,Team Vitality,VAXEE XE Wireless Orange,400,1.7
b0RUP,01 Jan 2024,Johannes Borup,"September 29, 1999",Denmark,Sashi,ZOWIE EC2-CW,400,2.00
MiGHTYMAX,05 Sep 2023,Max Heath,"July 14, 1997",United Kingdom,Endpoint,Endgame Gear XM1 White,400,1.60
sterling,30 Aug 2023,Euan Moore,"June 27, 1998",New Zealand,Encore Esports Club,ZOWIE S2 Divina Pink,400,2.20
DANK1NG,25 Feb 2024,Zhenghao Lyu,"September 15, 1999",China,TyLoo,Razer Viper Mini Signature Edition,800,1.25
Summer,10 Oct 2023,YuLun Cai,"May 16, 1997",China,Rare Atom,ZOWIE EC2-B,400,2.00
Attacker,17 Feb 2024,YuanZhang Sheng,"January 7, 1997",China,Steel Helmet,ZOWIE FK2-C,400,1.7
Rainwaker,21 Dec 2023,Aleks Petrov,"April 27, 2001",Bulgaria,500,ZOWIE EC2-CW,400,2.20
dennyslaw,21 Sep 2023,Denislav Dimitrov,"November 17, 1999",Bulgaria,500,Logitech G Pro X Superlight White,400,1.4
Forester,28 Dec 2023,Igor Bezotecheskiy,"January 3, 2000",Russia,AMKAL,Logitech G Pro X Superlight Black,800,0.70
El1an,22 Nov 2023,Aleksey Gusev,"July 19, 1999",Russia,Free Agent,VAXEE NP-01S Yellow,800,0.9
LNZ,28 Nov 2023,Linus Holtäng,"October 20, 2002",Sweden,Sangal,ZOWIE EC2-CW,400,1.70
phzy,08 Dec 2023,Love Smidebrant,"September 24, 2002",Sweden,Rare Atom,Logitech G Pro X Superlight Black,800,1.75
boX,30 Aug 2023,Anton Burko,"February 16, 1995",Belarus,Websterz,SteelSeries Sensei Ten,800,1.58
Wolfy,29 Dec 2023,Adam Andersson,"December 8, 1998",Sweden,Party Astronauts,Logitech G Pro X Superlight Black,400,1.85
alex,01 Feb 2024,Alejandro Masanet Candela,"December 15, 1995",Spain,Ninjas in Pyjamas,ZOWIE EC2-CW,400,1.5
mopoz,17 Mar 2024,Alejandro Fernández-Quejo Cano,"August 7, 1996",Spain,KOI,ZOWIE FK1+,400,1.4
hAdji,14 Feb 2024,Ali Haïnouss,"November 3, 1995",France,3DMAX,Razer Viper V3 Pro White (Unreleased),400,2.00
dav1g,01 Feb 2024,David Granado Bermudo,"June 6, 2001",Spain,KOI,ZOWIE EC2-CW,400,2.20
SunPayus,24 Jan 2024,Alvaro Garcia,"November 19, 1998",Spain,Falcons Esports,Logitech G Pro X Superlight 2 White,400,1.90
olofmeister,04 Mar 2024,Olof Kajbjer Gustafsson,"January 31, 1992",Sweden,FaZe Clan,Logitech G Pro X Superlight Black,800,1.1
pashaBiceps,09 Mar 2024,Jarosław Jarząbkowski,"April 11, 1988",Poland,Content Creator,Razer Deathadder V3 Pro Black,400,1.4
felps,09 Dec 2023,João Vasconcellos,"December 16, 1996",Brazil,Imperial Esports,ZOWIE EC2-CW,400,2.00
TACO,18 Feb 2024,Epitácio de Melo,"January 24, 1995",Brazil,O PLANO,VAXEE XE Wireless Yellow,400,1.6
dumau,05 Mar 2024,Eduardo Wolkmer,"November 9, 2003",Brazil,Legacy,Logitech G Pro X Superlight 2 White,800,1.01
b4rtiN,18 Mar 2024,Bruno Câmara,"January 11, 2002",Brazil,Legacy,ZOWIE ZA12-B,400,2.1
anarkez,09 Jan 2024,Guy Trachtman,"November 8, 1999",Israel,Team Secret,ZOWIE EC3-CW,500,3
shokz,30 Aug 2023,Kristjan Jakobson,"December 23, 1997",Estonia,Finest,ZOWIE EC2,1600,0.43
kreaz,21 Dec 2023,Rasmus Johansson,"April 10, 1998",Sweden,Dynamo Eclot,ZOWIE FK1+-B,400,2.00
n0thing,03 Mar 2024,Jordan Gilbert,"October 25, 1990",United States,Content Creator,Logitech G100S Custom,1600,0.50
PlesseN,06 Mar 2024,Niclas Plessen,"May 29, 1998",Sweden,Alliance,Razer Viper V2 Pro Black,800,1.4
bodyy,18 Jan 2024,Alexandre Pianaro,"January 8, 1997",France,Fnatic,Razer Viper V3 Hyperspeed,400,3
JW,30 Aug 2023,Jesper Wecksell,"February 23, 1995",Sweden,EYEBALLERS,Logitech G Pro X Superlight Black,400,1.9
gade,29 Dec 2022,Nicklas Gade,"November 6, 1994",Denmark,Retired,Logitech G Pro X Superlight Black,400,2.20
SZPERO,18 Jan 2024,Grzegorz Dziamałek,"June 6, 1991",Poland,Retired,ZOWIE EC2-CW,800,0.9
snatchie,20 Jun 2023,Michał Rudzki,"January 31, 1998",Poland,Free Agent,ZOWIE EC1,400,1.35
xns,29 Dec 2022,Enzo Almeida,N/A,Brazil,Team oNe eSports,ZOWIE EC2-A White,400,2.30
prt,28 Dec 2022,Matheus Scuvero,"December 18, 1997",Brazil,Free Agent,ZOWIE EC2,400,2.00
pesadelo,18 Dec 2023,Matheus Panisset,"August 12, 1999",Brazil,Team oNe eSports,ZOWIE EC2-CW,400,3.09
Maluk3,13 Jul 2023,Pedro Campos,"March 21, 1990",Brazil,Team oNe eSports,SteelSeries Sensei Ten,400,2.00
trk,29 Apr 2023,Alencar Rossato,"June 24, 1995",Brazil,Team oNe eSports,ZOWIE FK1-C,400,2.20
Kyojin,21 Feb 2024,Jayson Nguyen,"April 2, 1999",France,Free Agent,Logitech G Pro X Superlight 2 Magenta,800,1.25
Keoz,18 Feb 2024,Nicolas Dgus,"December 29, 2000",Belgium,GamerLegion,VAXEE OUTSET AX Wireless Blue,400,2.0608
nawwk,18 Mar 2024,Tim Jonasson,"October 30, 1997",Sweden,Apeks,Logitech G Pro X Superlight 2 Magenta,400,3.09
STYKO,07 Mar 2024,Martin Styk,"February 23, 1996",Slovakia,Apeks,Razer DeathAdder V3 Pro Faker Edition,400,1.6
Kvik,29 Dec 2022,Aurimas Kvakšys,"November 18, 1995",Lithuania,Free Agent,Logitech G Pro X Superlight Black,400,1.40
jmqa,30 Aug 2023,Savely Bragin,"April 17, 1997",Russia,Free Agent,ZOWIE FK2-C,800,1.35
sLowi,08 Feb 2024,Olli Pitkänen,"February 27, 1996",Finland,Free Agent,Logitech G Pro X Superlight 2 Magenta,400,3.20
ottoNd,29 Apr 2023,Otto Sihvo,"November 7, 1997",Finland,HAVU,Finalmouse Ultralight 2,400,1.77
xseveN,02 Aug 2023,Sami Laasanen,"August 14, 1994",Finland,Retired,VAXEE ZYGEN NP-01S,800,0.90
